epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
98,14826,1.09427,0.95927,0.06121,0.06494,0.82764,0.53866,0.62664,0.38239,1.60012,1.81262,0.02627,0.12087,0.0006799,0.0006799,0.0006799
99,14974.5,1.15034,0.99357,0.05913,0.06642,0.74909,0.60315,0.62704,0.38153,1.59253,1.85792,0.02545,0.11303,0.0006766,0.0006766,0.0006766
100,15119,1.08186,0.90128,0.05674,0.05731,0.75243,0.5683,0.62336,0.38292,1.56842,1.8858,0.02593,0.11622,0.0006733,0.0006733,0.0006733
101,15264.6,1.13011,0.98906,0.05955,0.06324,0.68385,0.56527,0.60718,0.37286,1.58119,1.87471,0.02644,0.1009,0.00067,0.00067,0.00067
102,15410.5,1.12211,0.90725,0.05917,0.06455,0.69285,0.61797,0.6204,0.38437,1.57427,1.86543,0.02628,0.10407,0.0006667,0.0006667,0.0006667
103,15554.7,1.07044,0.91744,0.05889,0.05761,0.71431,0.59171,0.63656,0.40122,1.52512,1.83723,0.02506,0.09753,0.0006634,0.0006634,0.0006634
104,15700.6,1.11052,0.97275,0.06386,0.05767,0.81422,0.49497,0.62129,0.40725,1.5117,1.83261,0.0249,0.08865,0.0006601,0.0006601,0.0006601
105,15849.3,1.08548,0.89138,0.0585,0.05454,0.78514,0.5285,0.58226,0.38925,1.51486,1.94657,0.02554,0.0905,0.0006568,0.0006568,0.0006568
106,16000.7,1.11237,0.95261,0.05611,0.05996,0.75856,0.52666,0.57328,0.36927,1.57809,1.94173,0.02782,0.08287,0.0006535,0.0006535,0.0006535
107,16156.2,1.08913,0.93354,0.06103,0.0613,0.83535,0.55321,0.59001,0.38557,1.52554,1.93451,0.02657,0.08431,0.0006502,0.0006502,0.0006502
108,16305.3,1.10397,0.93276,0.05517,0.06049,0.76995,0.53883,0.59149,0.38241,1.49268,1.90476,0.02448,0.09399,0.0006469,0.0006469,0.0006469
109,16453.9,1.10407,0.94656,0.05416,0.05757,0.78168,0.53716,0.5992,0.38245,1.49379,1.82987,0.02488,0.08528,0.0006436,0.0006436,0.0006436
110,16611.9,1.08577,0.92706,0.06324,0.06474,0.8015,0.50573,0.6021,0.36817,1.53121,1.78145,0.0259,0.08935,0.0006403,0.0006403,0.0006403
111,16759.9,1.14235,0.98566,0.05506,0.05398,0.79058,0.48233,0.57547,0.35315,1.54382,1.82931,0.02584,0.09207,0.000637,0.000637,0.000637
112,16905.2,1.1096,0.9233,0.06014,0.06324,0.7601,0.51049,0.57251,0.34507,1.58643,1.87794,0.02611,0.10332,0.0006337,0.0006337,0.0006337
113,17050.2,1.09097,0.92179,0.05713,0.05762,0.62306,0.57096,0.56564,0.34282,1.59313,1.88861,0.02586,0.10897,0.0006304,0.0006304,0.0006304
114,17197.7,1.06527,0.89095,0.06153,0.05448,0.68489,0.54397,0.57152,0.35265,1.57973,1.91757,0.02514,0.10714,0.0006271,0.0006271,0.0006271
115,17343.2,1.11698,0.94378,0.05516,0.06025,0.71239,0.51253,0.57303,0.357,1.57922,1.94314,0.02509,0.10836,0.0006238,0.0006238,0.0006238
116,17494.6,1.08741,0.95706,0.05978,0.06356,0.7138,0.51997,0.58039,0.37314,1.568,1.93902,0.02518,0.10365,0.0006205,0.0006205,0.0006205
117,17640.2,1.09691,0.92178,0.05648,0.05863,0.74161,0.52934,0.56475,0.35918,1.55234,2.02129,0.02516,0.10898,0.0006172,0.0006172,0.0006172
118,17801.9,1.06519,0.86667,0.05954,0.05419,0.66985,0.54354,0.55029,0.34086,1.56908,2.10825,0.0248,0.11645,0.0006139,0.0006139,0.0006139
119,17974.2,1.12285,0.99497,0.05983,0.05512,0.70697,0.50091,0.5491,0.34361,1.57455,2.14572,0.02458,0.11811,0.0006106,0.0006106,0.0006106
120,18126.2,1.08448,0.89072,0.05391,0.05981,0.66656,0.51567,0.55588,0.3365,1.57673,2.11804,0.02545,0.11481,0.0006073,0.0006073,0.0006073
121,18289.4,1.04099,0.8887,0.05368,0.05164,0.65942,0.54383,0.56149,0.34124,1.53464,2.1107,0.02536,0.10944,0.000604,0.000604,0.000604
122,18434.8,1.07126,0.91392,0.06447,0.0556,0.58682,0.55774,0.56042,0.35346,1.5298,2.05356,0.02608,0.10751,0.0006007,0.0006007,0.0006007
123,18597.3,1.06235,0.91185,0.05869,0.05553,0.66112,0.58981,0.59408,0.37302,1.54079,1.98191,0.02641,0.10691,0.0005974,0.0005974,0.0005974
124,18781.6,1.06499,0.86653,0.06232,0.05629,0.65341,0.5928,0.59266,0.37319,1.55715,2.00597,0.02761,0.09408,0.0005941,0.0005941,0.0005941
