epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
94,334.706,1.12804,0.9413,0.06026,0.06252,0.62357,0.50281,0.56229,0.34811,1.52609,2.08399,0.02505,0.06834,0.0006931,0.0006931,0.0006931
95,337.99,1.11748,0.92317,0.06172,0.06163,0.58437,0.51762,0.55066,0.33283,1.58356,2.15635,0.0251,0.06989,0.0006898,0.0006898,0.0006898
96,341.452,1.09652,0.90739,0.05888,0.0584,0.56218,0.50219,0.52161,0.339,1.53336,2.11402,0.02484,0.07669,0.0006865,0.0006865,0.0006865
97,344.663,1.11631,0.89742,0.06048,0.06673,0.55982,0.50535,0.53121,0.33599,1.53441,2.08491,0.024,0.07477,0.0006832,0.0006832,0.0006832
98,347.817,1.1478,0.95885,0.05511,0.06315,0.59684,0.57061,0.56683,0.35021,1.58895,2.01355,0.02452,0.0773,0.0006799,0.0006799,0.0006799
99,351.132,1.11072,0.92587,0.05993,0.06317,0.68439,0.45238,0.53669,0.32474,1.6319,2.02193,0.02578,0.07609,0.0006766,0.0006766,0.0006766
100,354.362,1.08998,0.89724,0.06211,0.06536,0.79515,0.43915,0.57795,0.35011,1.63301,1.96268,0.02503,0.06552,0.0006733,0.0006733,0.0006733
101,357.618,1.08389,0.90054,0.0626,0.05858,0.64358,0.4953,0.56951,0.3505,1.60778,1.97874,0.02492,0.06232,0.00067,0.00067,0.00067
102,361.131,1.05809,0.85447,0.06061,0.05274,0.74489,0.51434,0.56461,0.3697,1.56452,2.07168,0.0246,0.07518,0.0006667,0.0006667,0.0006667
103,364.475,1.07932,0.83577,0.05686,0.06035,0.64252,0.5173,0.53402,0.35277,1.58672,2.17374,0.0249,0.07562,0.0006634,0.0006634,0.0006634
104,367.782,1.05844,0.89142,0.05691,0.06387,0.71122,0.50772,0.52177,0.34105,1.62286,2.22999,0.02578,0.06187,0.0006601,0.0006601,0.0006601
105,370.934,1.11244,0.8988,0.0598,0.06466,0.69,0.48124,0.52165,0.35632,1.56544,2.27396,0.02437,0.06253,0.0006568,0.0006568,0.0006568
106,374.18,1.07723,0.84042,0.05419,0.05821,0.60888,0.481,0.50182,0.34719,1.48596,2.32202,0.02299,0.0689,0.0006535,0.0006535,0.0006535
107,377.382,1.0048,0.79277,0.06151,0.05537,0.67899,0.45809,0.51769,0.35202,1.5051,2.32104,0.02348,0.07156,0.0006502,0.0006502,0.0006502
108,380.91,1.09101,0.86617,0.06043,0.0564,0.87643,0.43239,0.52953,0.36825,1.53429,2.33885,0.02405,0.07519,0.0006469,0.0006469,0.0006469
109,384.128,1.08382,0.87516,0.06459,0.06015,0.62929,0.51552,0.52459,0.35721,1.53235,2.33679,0.02394,0.07548,0.0006436,0.0006436,0.0006436
110,387.476,1.09121,0.88163,0.05487,0.05251,0.75409,0.49976,0.55213,0.36648,1.54047,2.22949,0.02374,0.0744,0.0006403,0.0006403,0.0006403
111,390.651,1.0598,0.88718,0.05879,0.04964,0.85401,0.47211,0.56105,0.3713,1.55477,2.14019,0.02387,0.07546,0.000637,0.000637,0.000637
112,393.973,1.11677,0.93502,0.0587,0.0611,0.61436,0.55583,0.56852,0.35197,1.53167,2.12643,0.02273,0.07581,0.0006337,0.0006337,0.0006337
113,397.164,1.10504,0.86914,0.0572,0.05423,0.60164,0.55291,0.57745,0.35222,1.56324,2.05399,0.02284,0.07531,0.0006304,0.0006304,0.0006304
