epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
84,1270.28,0.92231,0.60965,0.02248,0.05278,0.84173,0.66997,0.71469,0.50492,1.29255,1.36385,0.03616,0.12345,0.0007261,0.0007261,0.0007261
85,1285.16,0.90893,0.59279,0.02317,0.04871,0.7633,0.6853,0.70737,0.51005,1.24683,1.36773,0.03361,0.12159,0.0007228,0.0007228,0.0007228
86,1299.98,0.91951,0.62658,0.02303,0.05525,0.81813,0.67987,0.73962,0.53022,1.25879,1.36478,0.03574,0.1203,0.0007195,0.0007195,0.0007195
87,1314.83,0.91422,0.60773,0.02344,0.04835,0.82542,0.66808,0.72916,0.51244,1.28958,1.49387,0.03742,0.09561,0.0007162,0.0007162,0.0007162
88,1329.71,0.91345,0.59994,0.02254,0.04872,0.76552,0.69013,0.73195,0.52218,1.26438,1.43559,0.03588,0.09791,0.0007129,0.0007129,0.0007129
89,1344.6,0.91224,0.60442,0.02354,0.05172,0.79799,0.70389,0.71921,0.51552,1.26708,1.56615,0.03461,0.10654,0.0007096,0.0007096,0.0007096
90,1359.5,0.88809,0.57983,0.02249,0.04861,0.81839,0.67507,0.73499,0.53903,1.22519,1.3252,0.03703,0.10167,0.0007063,0.0007063,0.0007063
91,1374.34,0.88127,0.58061,0.02303,0.04801,0.80884,0.72742,0.74451,0.53514,1.23828,1.45316,0.03794,0.11218,0.000703,0.000703,0.000703
92,1389.21,0.85417,0.56545,0.02314,0.0424,0.79041,0.72532,0.74129,0.52976,1.2612,1.36761,0.03805,0.12351,0.0006997,0.0006997,0.0006997
93,1404.05,0.90434,0.59893,0.02318,0.05259,0.85484,0.66625,0.75321,0.56892,1.2211,1.34649,0.03647,0.10339,0.0006964,0.0006964,0.0006964
94,1419.13,0.84616,0.5476,0.02319,0.04309,0.76048,0.72967,0.73104,0.53157,1.2788,1.45072,0.03621,0.1187,0.0006931,0.0006931,0.0006931
95,1433.99,0.86393,0.56619,0.02305,0.04554,0.74635,0.75238,0.75649,0.54232,1.21792,1.34959,0.03719,0.10755,0.0006898,0.0006898,0.0006898
96,1448.84,0.86965,0.54937,0.02188,0.0461,0.80753,0.71047,0.75979,0.53927,1.2237,1.44619,0.03613,0.10183,0.0006865,0.0006865,0.0006865
97,1463.75,0.84429,0.53932,0.02307,0.04515,0.84583,0.71564,0.76172,0.54662,1.28539,1.40293,0.03589,0.11511,0.0006832,0.0006832,0.0006832
98,1478.6,0.86321,0.56765,0.0216,0.04437,0.87646,0.7146,0.74056,0.53448,1.26435,1.44889,0.03531,0.10472,0.0006799,0.0006799,0.0006799
99,1493.46,0.86982,0.59205,0.0232,0.04418,0.79249,0.72876,0.75988,0.56,1.21756,1.38596,0.03454,0.11103,0.0006766,0.0006766,0.0006766
100,1508.3,0.87115,0.58333,0.02176,0.04564,0.82533,0.68756,0.74521,0.51912,1.31168,1.41951,0.03725,0.11432,0.0006733,0.0006733,0.0006733
101,1523.13,0.87916,0.57793,0.02202,0.04698,0.7923,0.69943,0.73589,0.53458,1.23399,1.41038,0.0373,0.11703,0.00067,0.00067,0.00067
102,1537.94,0.86107,0.58236,0.02265,0.0411,0.8322,0.67388,0.7262,0.52136,1.24341,1.58368,0.03598,0.09496,0.0006667,0.0006667,0.0006667
103,1552.71,0.85722,0.56533,0.0206,0.03932,0.79473,0.71038,0.75033,0.52612,1.27401,1.44433,0.03858,0.09019,0.0006634,0.0006634,0.0006634
104,1567.55,0.85409,0.56889,0.02148,0.0438,0.85247,0.69659,0.73903,0.54315,1.29615,1.42594,0.03801,0.1109,0.0006601,0.0006601,0.0006601
105,1582.3,0.83261,0.53903,0.02264,0.04192,0.82974,0.65161,0.72594,0.54995,1.2115,1.41477,0.03568,0.11045,0.0006568,0.0006568,0.0006568
106,1597.1,0.87437,0.57076,0.02288,0.0434,0.76178,0.70703,0.70875,0.51334,1.23675,1.45446,0.03647,0.11452,0.0006535,0.0006535,0.0006535
107,1611.86,0.83388,0.55182,0.02191,0.04402,0.75609,0.68862,0.72843,0.53425,1.22449,1.33773,0.03646,0.10264,0.0006502,0.0006502,0.0006502
108,1626.66,0.86102,0.57455,0.02201,0.0458,0.83386,0.65702,0.72357,0.53439,1.23136,1.43418,0.03594,0.10109,0.0006469,0.0006469,0.0006469
109,1641.47,0.84049,0.52542,0.02254,0.0437,0.85822,0.69838,0.74807,0.55093,1.20871,1.42719,0.0358,0.09868,0.0006436,0.0006436,0.0006436
110,1656.26,0.82963,0.55531,0.02201,0.04065,0.76028,0.67612,0.69999,0.5316,1.22159,1.51459,0.03594,0.10289,0.0006403,0.0006403,0.0006403
111,1671.08,0.83017,0.53351,0.02181,0.04326,0.91266,0.677,0.78985,0.56119,1.22498,1.33717,0.03452,0.08565,0.000637,0.000637,0.000637
